Play_ID,Play_Type,Personnel,Quarter,Play_Clock,Down,Distance,Hash,Field_Position,Gain_Loss,Touchdown,Penalty,Penalty_Type,Result,,,,,,,,,,,,,,,
List Rope Dice 46,Midzone,11,3,6:02,1,10,L,37,0,No,No,,Scramble,,,,,,,,,,,,,,,
Rain Strong F 46 Yacht,Midzone,12,3,5:49,2,10,R,37,37,Yes,No,,Rush,,,,,,,,,,,,,,,
Roy A Bluff 26 B Lead,QB Iso,10,3,0:06,1,10,L,-28,6,No,No,,Rush,,,,,,,,,,,,,,,
Rio Y-In 40 Bat,Inside Zone,11,4,15:00,2,4,M,-34,2,No,No,,Rush,,,,,,,,,,,,,,,
Rain Weak 42 Cap,Inside Zone,12,4,14:53,3,2,M,-36,18,No,No,,Rush,,,,,,,,,,,,,,,
Rich 23 Trump Pepper X Paver,Play-Action,21,4,14:06,1,10,R,44,0,No,No,,Incomplete Pass,,,,,,,,,,,,,,,
List 47 Yacht,Midzone,21,4,13:24,2,10,R,44,1,No,No,,Rush,,,,,,,,,,,,,,,
Link Buzz 43 Soap A Knock,Inside Zone,11,4,13:15,3,9,L,43,19,No,No,,Rush,,,,,,,,,,,,,,,
Rock Y-Cruise A Slammer South,WR Screen,11,4,12:36,1,10,R,24,-5,No,Yes,Block In the Back,Completed Pass,,,,,,,,,,,,,,,
Paramus Right 23 Lincoln Tax,Counter,12,4,11:51,1,15,L,29,13,No,No,,Rush,,,,,,,,,,,,,,,
Rich Tite Z Bluff 28 Arrow Dash,Pin/Pull,12,4,11:19,2,2,R,16,4,No,No,,Rush,,,,,,,,,,,,,,,
Lou A Bluff 27 B Lead,QB Iso,10,4,10:38,1,10,R,12,3,No,No,,Rush,,,,,,,,,,,,,,,
Lou Draw OK,RPO,10,4,9:54,2,7,L,9,0,No,No,,Incomplete Pass,,,,,,,,,,,,,,,
Lou Salem 41 Y Sail A Raft,RPO,10,4,9:17,3,7,L,9,9,Yes,No,,Completed Pass,,,,,,,,,,,,,,,
Roy A Bluff 26 B Lead,QB Iso,10,4,3:07,1,10,R,-49,4,No,No,,Rush,,,,,,,,,,,,,,,
Paramus Left 22 B Trump,Veer,12,4,2:59,2,6,R,47,5,No,No,,Rush,,,,,,,,,,,,,,,
Rain Weak 22 B Trump,Veer,12,4,2:51,3,1,R,42,42,Yes,No,,Rush,,,,,,,,,,,,,,,
